"Plot Title: 2373808"
"#","Date Time, GMT-07:00","Temp, C","RH, %","Batt, V","Coupler Detached","Coupler Attached","Host Connected","Stopped","End Of File"
1,01/23/10 12:48:04 PM,4.895,100.000,3.13,Logged,,,,
2,01/23/10 01:18:04 PM,4.506,100.000,3.18,,,,,
3,01/23/10 01:48:04 PM,6.306,100.000,3.19,,,,,
4,01/23/10 02:18:04 PM,6.484,100.000,3.19,,,,,
5,01/23/10 02:48:04 PM,6.914,100.000,3.19,,,,,
6,01/23/10 03:18:04 PM,6.687,100.000,3.19,,,,,
7,01/23/10 03:48:04 PM,6.763,100.000,3.19,,,,,
8,01/23/10 04:18:04 PM,7.066,100.000,3.21,,,,,
9,01/23/10 04:48:04 PM,7.066,100.000,3.21,,,,,
10,01/23/10 05:18:04 PM,6.382,100.000,3.19,,,,,
11,01/23/10 05:48:04 PM,6.357,100.000,3.19,,,,,
12,01/23/10 06:18:04 PM,5.745,100.000,3.19,,,,,
13,01/23/10 06:48:04 PM,5.488,100.000,3.19,,,,,
14,01/23/10 07:18:04 PM,5.385,100.000,3.19,,,,,
15,01/23/10 07:48:04 PM,5.102,100.000,3.19,,,,,
16,01/23/10 08:18:04 PM,4.792,100.000,3.19,,,,,
17,01/23/10 08:48:04 PM,4.636,100.000,3.19,,,,,
18,01/23/10 09:18:04 PM,4.454,100.000,3.19,,,,,
19,01/23/10 09:48:04 PM,4.298,100.000,3.19,,,,,
20,01/23/10 10:18:04 PM,4.141,100.000,3.19,,,,,
21,01/23/10 10:48:04 PM,3.880,100.000,3.19,,,,,
22,01/23/10 11:18:04 PM,3.643,100.000,3.19,,,,,
23,01/23/10 11:48:04 PM,3.406,100.000,3.19,,,,,
24,01/24/10 12:18:04 AM,3.380,100.000,3.19,,,,,
25,01/24/10 12:48:04 AM,3.459,100.000,3.19,,,,,
26,01/24/10 01:18:04 AM,3.512,100.000,3.19,,,,,
27,01/24/10 01:48:04 AM,3.591,100.000,3.19,,,,,
28,01/24/10 02:18:04 AM,4.141,100.000,3.19,,,,,
29,01/24/10 02:48:04 AM,4.141,100.000,3.19,,,,,
