"Plot Title: HydroWatch_10042545"
"#","Date Time, GMT-08:00","Temp, ¡C","RH, %","Batt, V","Coupler Detached","Coupler Attached","Stopped","End Of File"
1,01/10/12 05:30:00 PM,24.050,27.718,3.51,Logged,,,
2,01/10/12 05:45:00 PM,24.219,28.409,3.51,,,,
3,01/10/12 06:00:00 PM,24.098,27.518,3.51,,,,
4,01/10/12 06:15:00 PM,23.978,29.067,3.51,,,,
5,01/10/12 06:30:00 PM,23.857,28.719,3.51,,,,
6,01/10/12 06:45:00 PM,23.761,28.238,3.51,,,,
7,01/10/12 07:00:00 PM,23.641,27.483,3.51,,,,
8,01/10/12 07:15:00 PM,23.545,27.204,3.51,,,,
9,01/10/12 07:30:00 PM,23.424,26.923,3.51,,,,
10,01/10/12 07:45:00 PM,23.328,26.950,3.51,,,,
11,01/10/12 08:00:00 PM,23.232,26.909,3.51,,,,
12,01/10/12 08:15:00 PM,23.136,26.766,3.51,,,,
13,01/10/12 08:30:00 PM,23.040,26.589,3.51,,,,
14,01/10/12 08:45:00 PM,22.944,26.174,3.51,,,,
15,01/10/12 09:00:00 PM,22.872,26.067,3.51,,,,
16,01/10/12 09:15:00 PM,22.776,25.243,3.51,,,,
17,01/10/12 09:30:00 PM,22.705,25.442,3.51,,,,
18,01/10/12 09:45:00 PM,22.609,24.925,3.51,,,,
19,01/10/12 10:00:00 PM,22.513,24.952,3.51,,,,
20,01/10/12 10:15:00 PM,22.417,24.673,3.51,,,,
21,01/10/12 10:30:00 PM,22.321,24.802,3.51,,,,
22,01/10/12 10:45:00 PM,22.226,24.897,3.51,,,,
23,01/10/12 11:00:00 PM,22.154,25.130,3.51,,,,
24,01/10/12 11:15:00 PM,22.082,25.091,3.51,,,,
25,01/10/12 11:30:00 PM,21.987,25.254,3.51,,,,
26,01/10/12 11:45:00 PM,21.915,25.317,3.51,,,,
27,01/11/12 12:00:00 AM,21.843,25.414,3.51,,,,
28,01/11/12 12:15:00 AM,21.748,25.441,3.51,,,,
29,01/11/12 12:30:00 AM,21.676,25.504,3.51,,,,
30,01/11/12 12:45:00 AM,21.604,25.498,3.51,,,,
31,01/11/12 01:00:00 AM,21.533,25.527,3.51,,,,
32,01/11/12 01:15:00 AM,21.461,25.420,3.51,,,,
33,01/11/12 01:30:00 AM,21.390,25.381,3.51,,,,
34,01/11/12 01:45:00 AM,21.318,25.308,3.51,,,,
35,01/11/12 02:00:00 AM,21.270,25.271,3.51,,,,
36,01/11/12 02:15:00 AM,21.223,25.267,3.51,,,,
37,01/11/12 02:30:00 AM,21.175,25.264,3.51,,,,
38,01/11/12 02:45:00 AM,21.103,25.191,3.51,,,,
39,01/11/12 03:00:00 AM,21.056,25.187,3.51,,,,
40,01/11/12 03:15:00 AM,21.008,25.184,3.51,,,,
41,01/11/12 03:30:00 AM,20.960,25.248,3.51,,,,
42,01/11/12 03:45:00 AM,20.913,25.211,3.51,,,,
43,01/11/12 04:00:00 AM,20.865,25.241,3.51,,,,
44,01/11/12 04:15:00 AM,20.817,25.272,3.51,,,,
45,01/11/12 04:30:00 AM,20.770,25.302,3.51,,,,
46,01/11/12 04:45:00 AM,20.722,25.299,3.51,,,,
47,01/11/12 05:00:00 AM,20.674,25.363,3.51,,,,
48,01/11/12 05:15:00 AM,20.627,25.427,3.49,,,,
49,01/11/12 05:30:00 AM,20.579,25.491,3.49,,,,
50,01/11/12 05:45:00 AM,20.555,25.557,3.51,,,,
51,01/11/12 06:00:00 AM,20.507,25.689,3.51,,,,
52,01/11/12 06:15:00 AM,20.484,25.789,3.49,,,,
53,01/11/12 06:30:00 AM,20.460,25.821,3.49,,,,
54,01/11/12 06:45:00 AM,20.412,25.885,3.49,,,,
55,01/11/12 07:00:00 AM,20.388,26.018,3.49,,,,
56,01/11/12 07:15:00 AM,20.365,26.084,3.49,,,,
57,01/11/12 07:30:00 AM,20.317,26.182,3.49,,,,
58,01/11/12 07:45:00 AM,20.293,26.214,3.49,,,,
59,01/11/12 08:00:00 AM,20.293,26.281,3.49,,,,
