"Plot Title: 2373809"
"#","Date Time, GMT-07:00","Temp, C","RH, %","Batt, V","Coupler Detached","Coupler Attached","Host Connected","Stopped","End Of File"
1,01/23/10 12:50:02 PM,4.999,100.000,3.53,Logged,,,,
2,01/23/10 01:20:02 PM,4.584,100.000,3.51,,,,,
3,01/23/10 01:50:02 PM,5.693,100.000,3.51,,,,,
4,01/23/10 02:20:02 PM,6.382,100.000,3.51,,,,,
5,01/23/10 02:50:02 PM,6.965,100.000,3.51,,,,,
6,01/23/10 03:20:02 PM,6.813,100.000,3.51,,,,,
7,01/23/10 03:50:02 PM,6.864,100.000,3.51,,,,,
8,01/23/10 04:20:02 PM,7.066,100.000,3.51,,,,,
9,01/23/10 04:50:02 PM,7.116,100.000,3.51,,,,,
10,01/23/10 05:20:02 PM,6.433,100.000,3.51,,,,,
11,01/23/10 05:50:02 PM,6.433,100.000,3.51,,,,,
12,01/23/10 06:20:02 PM,5.821,100.000,3.51,,,,,
13,01/23/10 06:50:02 PM,5.591,100.000,3.51,,,,,
14,01/23/10 07:20:02 PM,5.411,100.000,3.51,,,,,
15,01/23/10 07:50:02 PM,5.128,100.000,3.51,,,,,
16,01/23/10 08:20:02 PM,4.792,100.000,3.51,,,,,
17,01/23/10 08:50:02 PM,4.610,100.000,3.51,,,,,
18,01/23/10 09:20:02 PM,4.402,100.000,3.51,,,,,
19,01/23/10 09:50:02 PM,4.272,100.000,3.49,,,,,
20,01/23/10 10:20:02 PM,4.141,100.000,3.49,,,,,
21,01/23/10 10:50:02 PM,3.880,100.000,3.49,,,,,
22,01/23/10 11:20:02 PM,3.670,100.000,3.49,,,,,
23,01/23/10 11:50:02 PM,3.380,100.000,3.49,,,,,
24,01/24/10 12:20:02 AM,3.380,100.000,3.49,,,,,
25,01/24/10 12:50:02 AM,3.459,100.000,3.49,,,,,
26,01/24/10 01:20:02 AM,3.538,100.000,3.49,,,,,
27,01/24/10 01:50:02 AM,3.643,100.000,3.49,,,,,
28,01/24/10 02:20:02 AM,4.089,100.000,3.49,,,,,
29,01/24/10 02:50:02 AM,4.141,100.000,3.49,,,,,
30,01/24/10 03:20:02 AM,4.220,100.000,3.49,,,,,
31,01/24/10 03:50:02 AM,4.376,100.000,3.49,,,,,
32,01/24/10 04:20:02 AM,4.610,100.000,3.49,,,,,
33,01/24/10 04:50:02 AM,4.818,100.000,3.49,,,,,
34,01/24/10 05:20:02 AM,4.766,100.000,3.49,,,,,
35,01/24/10 05:50:02 AM,5.102,100.000,3.49,,,,,
36,01/24/10 06:20:02 AM,5.231,99.030,3.49,,,,,
37,01/24/10 06:50:02 AM,5.050,100.000,3.49,,,,,
38,01/24/10 07:20:02 AM,4.818,100.000,3.49,,,,,
