"Plot Title: HydroWatch_10042556"
"#","Date Time, GMT-08:00","Temp, C","RH, %","Batt, V","Coupler Detached","End Of File"
1,05/07/12 01:45:00 PM,20.555,53.720,3.49,Logged,
2,05/07/12 02:00:00 PM,20.674,53.426,3.51,,
3,05/07/12 02:15:00 PM,20.436,54.354,3.51,,
4,05/07/12 02:30:00 PM,20.293,54.952,3.51,,
5,05/07/12 02:45:00 PM,20.198,55.402,3.51,,
6,05/07/12 03:00:00 PM,20.222,55.868,3.51,,
7,05/07/12 03:15:00 PM,20.150,55.857,3.51,,
8,05/07/12 03:30:00 PM,20.079,55.970,3.51,,
9,05/07/12 03:45:00 PM,20.079,56.369,3.51,,
10,05/07/12 04:00:00 PM,20.055,56.335,3.51,,
11,05/07/12 04:15:00 PM,19.936,56.747,3.51,,
12,05/07/12 04:30:00 PM,19.841,56.610,3.51,,
13,05/07/12 04:45:00 PM,19.674,56.769,3.51,,
14,05/07/12 05:00:00 PM,19.579,56.877,3.51,,
15,05/07/12 05:15:00 PM,19.460,56.951,3.51,,
16,05/07/12 05:30:00 PM,19.365,57.029,3.51,,
17,05/07/12 05:45:00 PM,19.294,57.079,3.51,,
18,05/07/12 06:00:00 PM,19.199,57.218,3.51,,
19,05/07/12 06:15:00 PM,19.175,57.397,3.51,,Logged
