"Plot Title: 2373795"
"#","Date Time, GMT-07:00","Temp, C","RH, %","Batt, V","Coupler Detached","Coupler Attached","Host Connected","End Of File"
1,01/23/10 12:10:37 PM,6.509,100.000,3.41,Logged,,,
2,01/23/10 12:40:37 PM,5.282,100.000,3.40,,,,
3,01/23/10 01:10:37 PM,5.076,100.000,3.40,,,,
4,01/23/10 01:40:37 PM,5.488,100.000,3.40,,,,
5,01/23/10 02:10:37 PM,5.796,100.000,3.40,,,,
6,01/23/10 02:40:37 PM,6.255,100.000,3.40,,,,
7,01/23/10 03:10:37 PM,6.560,100.000,3.41,,,,
8,01/23/10 03:40:37 PM,6.560,100.000,3.41,,,,
9,01/23/10 04:10:37 PM,6.636,100.000,3.41,,,,
10,01/23/10 04:40:37 PM,6.636,100.000,3.41,,,,
11,01/23/10 05:10:37 PM,6.255,100.000,3.41,,,,
12,01/23/10 05:40:37 PM,6.179,100.000,3.40,,,,
13,01/23/10 06:10:37 PM,6.153,100.000,3.41,,,,
14,01/23/10 06:40:37 PM,5.796,100.000,3.40,,,,
15,01/23/10 07:10:37 PM,5.514,100.000,3.40,,,,
16,01/23/10 07:40:37 PM,5.282,100.000,3.40,,,,
17,01/23/10 08:10:37 PM,5.128,100.000,3.40,,,,
18,01/23/10 08:40:37 PM,4.844,100.000,3.40,,,,
19,01/23/10 09:10:37 PM,4.662,100.000,3.40,,,,
20,01/23/10 09:40:37 PM,4.454,100.000,3.40,,,,
21,01/23/10 10:10:37 PM,4.350,100.000,3.40,,,,
22,01/23/10 10:40:37 PM,4.115,100.000,3.40,,,,
23,01/23/10 11:10:37 PM,3.932,100.000,3.40,,,,
24,01/23/10 11:40:37 PM,3.670,100.000,3.40,,,,
25,01/24/10 12:10:37 AM,3.512,100.000,3.38,,,,
26,01/24/10 12:40:37 AM,3.512,100.000,3.38,,,,
27,01/24/10 01:10:37 AM,3.538,100.000,3.38,,,,
28,01/24/10 01:40:37 AM,3.564,100.000,3.38,,,,
29,01/24/10 02:10:37 AM,3.670,100.000,3.38,,,,
30,01/24/10 02:40:37 AM,3.880,100.000,3.40,,,,
31,01/24/10 03:10:37 AM,4.063,100.000,3.38,,,,
32,01/24/10 03:40:37 AM,4.194,100.000,3.40,,,,
33,01/24/10 04:10:37 AM,4.324,100.000,3.40,,,,
34,01/24/10 04:40:37 AM,4.402,100.000,3.40,,,,
35,01/24/10 05:10:37 AM,4.506,100.000,3.40,,,,
36,01/24/10 05:40:37 AM,4.506,100.000,3.40,,,,
37,01/24/10 06:10:37 AM,4.584,100.000,3.40,,,,
38,01/24/10 06:40:37 AM,4.662,100.000,3.40,,,,
39,01/24/10 07:10:37 AM,4.818,100.000,3.40,,,,
40,01/24/10 07:40:37 AM,4.818,100.000,3.40,,,,
41,01/24/10 08:10:37 AM,4.584,100.000,3.40,,,,
42,01/24/10 08:40:37 AM,4.506,100.000,3.40,,,,
43,01/24/10 09:10:37 AM,4.558,100.000,3.40,,,,
44,01/24/10 09:40:37 AM,4.636,100.000,3.40,,,,
45,01/24/10 10:10:37 AM,4.766,100.000,3.40,,,,
46,01/24/10 10:40:37 AM,4.973,100.000,3.40,,,,
47,01/24/10 11:10:37 AM,5.076,100.000,3.40,,,,
48,01/24/10 11:40:37 AM,5.128,100.000,3.40,,,,
49,01/24/10 12:10:37 PM,5.128,100.000,3.40,,,,
50,01/24/10 12:40:37 PM,5.205,100.000,3.40,,,,
51,01/24/10 01:10:37 PM,5.257,100.000,3.40,,,,
52,01/24/10 01:40:37 PM,5.308,100.000,3.40,,,,
53,01/24/10 02:10:37 PM,5.257,100.000,3.40,,,,
54,01/24/10 02:40:37 PM,5.437,100.000,3.40,,,,
55,01/24/10 03:10:37 PM,5.642,100.000,3.40,,,,
56,01/24/10 03:40:37 PM,5.745,100.000,3.40,,,,
57,01/24/10 04:10:37 PM,5.924,100.000,3.40,,,,
58,01/24/10 04:40:37 PM,6.026,100.000,3.40,,,,
59,01/24/10 05:10:37 PM,5.949,100.000,3.40,,,,
60,01/24/10 05:40:37 PM,5.924,100.000,3.40,,,,
61,01/24/10 06:10:37 PM,5.949,100.000,3.40,,,,
62,01/24/10 06:40:37 PM,5.975,100.000,3.40,,,,
63,01/24/10 07:10:37 PM,6.102,100.000,3.40,,,,
64,01/24/10 07:40:37 PM,6.255,100.000,3.40,,,,
65,01/24/10 08:10:37 PM,6.357,100.000,3.40,,,,
66,01/24/10 08:40:37 PM,6.433,100.000,3.40,,,,
