"Plot Title: 110 Meter"
"#","Date Time, GMT-07:00","Temp, C","RH, %","Batt, V","Coupler Detached","Bad Battery","Good Battery","Coupler Attached","Host Connected","Stopped","End Of File"
1,05/06/10 04:00:00 AM,6.153,40.290,3.45,Logged,,,,,,
2,05/06/10 04:00:25 AM,6.255,48.523,3.47,,,,,,,
3,05/06/10 04:00:50 AM,6.357,49.111,3.49,,,,,,,
4,05/06/10 04:01:15 AM,6.458,49.548,3.49,,,,,,,
5,05/06/10 04:01:40 AM,6.560,49.199,3.49,,,,,,,
6,05/06/10 04:02:05 AM,6.636,48.847,3.49,,,,,,,
7,05/06/10 04:02:30 AM,6.737,48.588,3.49,,,,,,,
8,05/06/10 04:02:55 AM,6.813,48.447,3.49,,,,,,,
9,05/06/10 04:03:20 AM,6.889,47.941,3.49,,,,,,,
10,05/06/10 04:03:45 AM,6.965,47.465,3.49,,,,,,,
11,05/06/10 04:04:10 AM,7.041,47.261,3.49,,,,,,,
12,05/06/10 04:04:35 AM,7.091,47.390,3.49,,,,,,,
13,05/06/10 04:05:00 AM,7.167,48.767,3.49,,,,,,,
14,05/06/10 04:05:25 AM,7.242,49.776,3.49,,,,,,,
15,05/06/10 04:05:50 AM,7.318,51.353,3.49,,,,,,,
16,05/06/10 04:06:15 AM,7.368,49.581,3.49,,,,,,,
17,05/06/10 04:06:40 AM,7.444,49.016,3.49,,,,,,,
18,05/06/10 04:07:05 AM,7.494,50.384,3.49,,,,,,,
19,05/06/10 04:07:30 AM,7.544,49.091,3.49,,,,,,,
20,05/06/10 04:07:55 AM,7.594,48.217,3.49,,,,,,,
21,05/06/10 04:08:20 AM,7.619,47.672,3.49,,,,,,,
22,05/06/10 04:08:45 AM,7.670,47.221,3.49,,,,,,,
23,05/06/10 04:09:10 AM,7.695,46.858,3.49,,,,,,,
24,05/06/10 04:09:35 AM,7.720,46.586,3.49,,,,,,,
25,05/06/10 04:10:00 AM,7.770,46.378,3.49,,,,,,,
26,05/06/10 04:10:25 AM,7.795,46.228,3.49,,,,,,,
27,05/06/10 04:10:50 AM,7.820,46.078,3.49,,,,,,,
28,05/06/10 04:11:15 AM,7.845,45.959,3.49,,,,,,,
29,05/06/10 04:11:40 AM,7.870,45.809,3.49,,,,,,,
30,05/06/10 04:12:05 AM,7.920,45.692,3.49,,,,,,,
31,05/06/10 04:12:30 AM,7.945,45.603,3.49,,,,,,,
32,05/06/10 04:12:55 AM,7.970,45.514,3.49,,,,,,,
33,05/06/10 04:13:20 AM,7.995,45.425,3.49,,,,,,,
34,05/06/10 04:13:45 AM,8.020,45.367,3.49,,,,,,,
35,05/06/10 04:14:10 AM,8.045,45.309,3.49,,,,,,,
36,05/06/10 04:14:35 AM,8.070,45.250,3.49,,,,,,,
37,05/06/10 04:15:00 AM,8.095,45.192,3.49,,,,,,,
38,05/06/10 04:15:25 AM,8.120,45.133,3.49,,,,,,,
39,05/06/10 04:15:50 AM,8.120,45.102,3.49,,,,,,,
40,05/06/10 04:16:15 AM,8.145,45.044,3.49,,,,,,,
41,05/06/10 04:16:40 AM,8.170,45.016,3.49,,,,,,,
42,05/06/10 04:17:05 AM,8.195,44.958,3.49,,,,,,,
43,05/06/10 04:17:30 AM,8.195,44.927,3.49,,,,,,,
44,05/06/10 04:17:55 AM,8.220,44.930,3.49,,,,,,,
45,05/06/10 04:18:20 AM,8.220,44.899,3.49,,,,,,,
46,05/06/10 04:18:45 AM,8.245,44.872,3.49,,,,,,,
47,05/06/10 04:19:10 AM,8.270,44.875,3.49,,,,,,,
48,05/06/10 04:19:35 AM,8.270,44.844,3.49,,,,,,,
49,05/06/10 04:20:00 AM,8.295,44.785,3.49,,,,,,,
50,05/06/10 04:20:25 AM,8.319,44.788,3.49,,,,,,,
51,05/06/10 04:20:50 AM,8.319,44.757,3.49,,,,,,,
