"Plot Title: HydroWatch_10042563"
"#","Date Time, GMT-08:00","Temp, C","RH, %","Batt, V","Coupler Detached","End Of File"
1,02/03/12 09:00:00 PM,20.484,51.653,3.51,Logged,
2,02/03/12 09:15:00 PM,20.317,52.410,3.51,,
3,02/03/12 09:30:00 PM,20.269,52.964,3.51,,
4,02/03/12 09:45:00 PM,20.174,53.479,3.51,,
5,02/03/12 10:00:00 PM,20.126,53.814,3.51,,
6,02/03/12 10:15:00 PM,20.126,54.031,3.51,,
7,02/03/12 10:30:00 PM,20.103,54.151,3.51,,
8,02/03/12 10:45:00 PM,20.126,54.309,3.51,,
9,02/03/12 11:00:00 PM,20.079,54.395,3.53,,
10,02/03/12 11:15:00 PM,19.960,54.749,3.51,,
11,02/03/12 11:30:00 PM,19.912,54.557,3.51,,
12,02/03/12 11:45:00 PM,19.888,54.337,3.53,,
13,02/04/12 12:00:00 AM,19.817,54.265,3.53,,
14,02/04/12 12:15:00 AM,19.698,54.310,3.51,,
15,02/04/12 12:30:00 AM,19.603,54.481,3.51,,
16,02/04/12 12:45:00 AM,19.484,54.680,3.51,,
17,02/04/12 01:00:00 AM,19.389,54.790,3.51,,
18,02/04/12 01:15:00 AM,19.318,55.057,3.51,,
19,02/04/12 01:30:00 AM,19.246,55.262,3.51,,
20,02/04/12 01:45:00 AM,19.175,55.344,3.51,,
21,02/04/12 02:00:00 AM,19.080,55.514,3.51,,
22,02/04/12 02:15:00 AM,19.008,55.657,3.51,,
23,02/04/12 02:30:00 AM,18.937,55.769,3.51,,
24,02/04/12 02:45:00 AM,18.866,55.851,3.51,,
25,02/04/12 03:00:00 AM,18.794,55.963,3.51,,
26,02/04/12 03:15:00 AM,18.723,56.105,3.51,,
27,02/04/12 03:30:00 AM,18.652,56.125,3.51,,
28,02/04/12 03:45:00 AM,18.580,56.207,3.51,,
29,02/04/12 04:00:00 AM,18.509,56.318,3.51,,
30,02/04/12 04:15:00 AM,18.461,56.372,3.51,,
31,02/04/12 04:30:00 AM,18.390,56.453,3.51,,
32,02/04/12 04:45:00 AM,18.319,56.534,3.51,,
33,02/04/12 05:00:00 AM,18.247,56.615,3.51,,
34,02/04/12 05:15:00 AM,18.200,56.669,3.51,,
35,02/04/12 05:30:00 AM,18.129,56.750,3.51,,
36,02/04/12 05:45:00 AM,18.152,57.059,3.51,,
37,02/04/12 06:00:00 AM,18.081,57.109,3.51,,
38,02/04/12 06:15:00 AM,17.986,57.094,3.51,,
39,02/04/12 06:30:00 AM,17.915,57.083,3.51,,
40,02/04/12 06:45:00 AM,17.867,56.985,3.51,,
41,02/04/12 07:00:00 AM,17.796,56.974,3.51,,
42,02/04/12 07:15:00 AM,17.701,57.325,3.51,,
43,02/04/12 07:30:00 AM,17.748,57.514,3.51,,
44,02/04/12 07:45:00 AM,17.867,57.502,3.51,,
45,02/04/12 08:00:00 AM,17.938,57.939,3.51,,
